Cohort,FPR,TPR
GSE236713,0.8452830188679246,0.9491525423728814
GSE236713,0.8452830188679246,0.9661016949152542
GSE236713,0.8754716981132076,0.9661016949152542
GSE236713,0.8754716981132076,0.9830508474576272
GSE236713,0.939622641509434,0.9830508474576272
GSE236713,0.939622641509434,1.0
GSE236713,1.0,1.0
GSE26440,0.0,0.0
GSE26440,0.012345679012345678,0.0
GSE26440,0.012345679012345678,0.11764705882352941
GSE26440,0.06172839506172839,0.11764705882352941
GSE26440,0.06172839506172839,0.17647058823529413
GSE26440,0.09876543209876543,0.17647058823529413
GSE26440,0.09876543209876543,0.23529411764705882
GSE26440,0.14814814814814814,0.23529411764705882
GSE26440,0.14814814814814814,0.29411764705882354
GSE26440,0.16049382716049382,0.29411764705882354
GSE26440,0.16049382716049382,0.35294117647058826
GSE26440,0.2222222222222222,0.35294117647058826
GSE26440,0.2222222222222222,0.47058823529411764
GSE26440,0.2962962962962963,0.47058823529411764
GSE26440,0.2962962962962963,0.5294117647058824
GSE26440,0.37037037037037035,0.5294117647058824
GSE26440,0.37037037037037035,0.5882352941176471
GSE26440,0.3950617283950617,0.5882352941176471
GSE26440,0.3950617283950617,0.6470588235294118
GSE26440,0.5308641975308642,0.6470588235294118
GSE26440,0.5308641975308642,0.7058823529411765
GSE26440,0.6296296296296297,0.7058823529411765
GSE26440,0.6296296296296297,0.8235294117647058
GSE26440,0.691358024691358,0.8235294117647058
GSE26440,0.691358024691358,0.9411764705882353
GSE26440,0.8518518518518519,0.9411764705882353
GSE26440,0.8518518518518519,1.0
GSE26440,1.0,1.0
GSE272769,0.0,0.0
GSE272769,0.0,0.016666666666666666
GSE272769,0.0,0.11666666666666667
GSE272769,0.009900990099009901,0.11666666666666667
GSE272769,0.009900990099009901,0.16666666666666666
GSE272769,0.019801980198019802,0.16666666666666666
GSE272769,0.019801980198019802,0.21666666666666667
GSE272769,0.0297029702970297,0.21666666666666667
GSE272769,0.0297029702970297,0.25
GSE272769,0.039603960396039604,0.25
GSE272769,0.039603960396039604,0.3
GSE272769,0.04950495049504951,0.3
GSE272769,0.04950495049504951,0.31666666666666665
GSE272769,0.06930693069306931,0.31666666666666665
GSE272769,0.06930693069306931,0.35
GSE272769,0.0891089108910891,0.35
GSE272769,0.0891089108910891,0.38333333333333336
GSE272769,0.1188118811881188,0.38333333333333336
GSE272769,0.1188118811881188,0.4
GSE272769,0.13861386138613863,0.4
GSE272769,0.13861386138613863,0.4666666666666667
GSE272769,0.16831683168316833,0.4666666666666667
GSE272769,0.16831683168316833,0.5333333333333333
GSE272769,0.1782178217821782,0.5333333333333333
GSE272769,0.1782178217821782,0.55
GSE272769,0.18811881188118812,0.55
GSE272769,0.18811881188118812,0.6
GSE272769,0.19801980198019803,0.6
GSE272769,0.19801980198019803,0.6333333333333333
GSE272769,0.2376237623762376,0.6333333333333333
GSE272769,0.2376237623762376,0.65
GSE272769,0.24752475247524752,0.65
GSE272769,0.24752475247524752,0.6833333333333333
GSE272769,0.297029702970297,0.6833333333333333
GSE272769,0.297029702970297,0.7
GSE272769,0.39603960396039606,0.7
GSE272769,0.39603960396039606,0.7333333333333333
GSE272769,0.42574257425742573,0.7333333333333333
GSE272769,0.42574257425742573,0.7666666666666667
GSE272769,0.44554455445544555,0.7666666666666667
GSE272769,0.44554455445544555,0.7833333333333333
GSE272769,0.46534653465346537,0.7833333333333333
GSE272769,0.46534653465346537,0.8
GSE272769,0.5247524752475248,0.8
GSE272769,0.5247524752475248,0.8166666666666667
GSE272769,0.5544554455445545,0.8166666666666667
GSE272769,0.5544554455445545,0.8333333333333334
GSE272769,0.5742574257425742,0.8333333333333334
GSE272769,0.5742574257425742,0.85
GSE272769,0.594059405940594,0.85
GSE272769,0.594059405940594,0.8666666666666667
GSE272769,0.6435643564356436,0.8666666666666667
GSE272769,0.6435643564356436,0.9
GSE272769,0.7029702970297029,0.9
GSE272769,0.7029702970297029,0.9166666666666666
GSE272769,0.7128712871287128,0.9166666666666666
GSE272769,0.7128712871287128,0.9333333333333333
GSE272769,0.7821782178217822,0.9333333333333333
GSE272769,0.7821782178217822,0.95
GSE272769,0.8316831683168316,0.95
GSE272769,0.8316831683168316,0.9666666666666667
GSE272769,0.9405940594059405,0.9666666666666667
GSE272769,0.9405940594059405,0.9833333333333333
GSE272769,0.9900990099009901,0.9833333333333333
GSE272769,0.9900990099009901,1.0
GSE272769,1.0,1.0
GSE54514,0.0,0.0
GSE54514,0.0,0.03225806451612903
GSE54514,0.0,0.06451612903225806
GSE54514,0.020833333333333332,0.06451612903225806
GSE54514,0.020833333333333332,0.1935483870967742
GSE54514,0.041666666666666664,0.1935483870967742
GSE54514,0.041666666666666664,0.22580645161290322
GSE54514,0.052083333333333336,0.22580645161290322
GSE54514,0.052083333333333336,0.3870967741935484
GSE54514,0.08333333333333333,0.3870967741935484
GSE54514,0.08333333333333333,0.45161290322580644
GSE54514,0.125,0.45161290322580644
GSE54514,0.125,0.4838709677419355
GSE54514,0.14583333333333334,0.4838709677419355
GSE54514,0.14583333333333334,0.5161290322580645
GSE54514,0.1875,0.5161290322580645
GSE54514,0.1875,0.5483870967741935
GSE54514,0.19791666666666666,0.5483870967741935
GSE54514,0.19791666666666666,0.6129032258064516
GSE54514,0.25,0.6129032258064516
GSE54514,0.25,0.6774193548387096
GSE54514,0.2604166666666667,0.6774193548387096
GSE54514,0.2604166666666667,0.7096774193548387
GSE54514,0.28125,0.7096774193548387
GSE54514,0.28125,0.7741935483870968
GSE54514,0.3229166666666667,0.7741935483870968
GSE54514,0.3229166666666667,0.8064516129032258
GSE54514,0.3333333333333333,0.8064516129032258
GSE54514,0.3333333333333333,0.8387096774193549
GSE54514,0.5625,0.8387096774193549
GSE54514,0.5625,0.8709677419354839
GSE54514,0.6979166666666666,0.8709677419354839
GSE54514,0.6979166666666666,0.9032258064516129
GSE54514,0.8125,0.9032258064516129
GSE54514,0.8125,0.9354838709677419
GSE54514,0.90625,0.9354838709677419
GSE54514,0.90625,0.967741935483871
GSE54514,0.9270833333333334,0.967741935483871
GSE54514,0.9270833333333334,1.0
GSE54514,1.0,1.0
GSE95233,0.0,0.0
GSE95233,0.014705882352941176,0.0
GSE95233,0.014705882352941176,0.17647058823529413
GSE95233,0.04411764705882353,0.17647058823529413
GSE95233,0.04411764705882353,0.29411764705882354
GSE95233,0.058823529411764705,0.29411764705882354
GSE95233,0.058823529411764705,0.4117647058823529
GSE95233,0.10294117647058823,0.4117647058823529
GSE95233,0.10294117647058823,0.4411764705882353
GSE95233,0.16176470588235295,0.4411764705882353
GSE95233,0.16176470588235295,0.47058823529411764
GSE95233,0.17647058823529413,0.47058823529411764
GSE95233,0.17647058823529413,0.5
GSE95233,0.23529411764705882,0.5
GSE95233,0.23529411764705882,0.5588235294117647
GSE95233,0.27941176470588236,0.5588235294117647
GSE95233,0.27941176470588236,0.6176470588235294
GSE95233,0.36764705882352944,0.6176470588235294
GSE95233,0.36764705882352944,0.6764705882352942
GSE95233,0.38235294117647056,0.6764705882352942
GSE95233,0.38235294117647056,0.7058823529411765
GSE95233,0.4264705882352941,0.7058823529411765
GSE95233,0.4264705882352941,0.7352941176470589
GSE95233,0.5,0.7352941176470589
GSE95233,0.5,0.7647058823529411
GSE95233,0.5147058823529411,0.7647058823529411
GSE95233,0.5147058823529411,0.7941176470588235
GSE95233,0.5735294117647058,0.7941176470588235
GSE95233,0.5735294117647058,0.8529411764705882
GSE95233,0.6617647058823529,0.8529411764705882
GSE95233,0.6617647058823529,0.8823529411764706
GSE95233,0.7058823529411765,0.8823529411764706
GSE95233,0.7058823529411765,0.9117647058823529
GSE95233,0.7647058823529411,0.9117647058823529
GSE95233,0.7647058823529411,0.9411764705882353
GSE95233,0.7941176470588235,0.9411764705882353
GSE95233,0.7941176470588235,1.0
GSE95233,1.0,1.0
