Cohort,FPR,TPR
GSE236713,0.018867924528301886,0.05084745762711865
GSE236713,0.018867924528301886,0.0847457627118644
GSE236713,0.03018867924528302,0.0847457627118644
GSE236713,0.03018867924528302,0.13559322033898305
GSE236713,0.04150943396226415,0.13559322033898305
GSE236713,0.04150943396226415,0.15254237288135594
GSE236713,0.05660377358490566,0.15254237288135594
GSE236713,0.05660377358490566,0.1864406779661017
GSE236713,0.06792452830188679,0.1864406779661017
GSE236713,0.06792452830188679,0.2033898305084746
GSE236713,0.09433962264150944,0.2033898305084746
GSE236713,0.09433962264150944,0.22033898305084745
GSE236713,0.10566037735849057,0.22033898305084745
GSE236713,0.10566037735849057,0.23728813559322035
GSE236713,0.10943396226415095,0.23728813559322035
GSE236713,0.10943396226415095,0.2711864406779661
GSE236713,0.12452830188679245,0.2711864406779661
GSE236713,0.12452830188679245,0.3220338983050847
GSE236713,0.13584905660377358,0.3220338983050847
GSE236713,0.13584905660377358,0.3389830508474576
GSE236713,0.1509433962264151,0.3389830508474576
GSE236713,0.1509433962264151,0.3559322033898305
GSE236713,0.18490566037735848,0.3559322033898305
GSE236713,0.18490566037735848,0.3728813559322034
GSE236713,0.18867924528301888,0.3728813559322034
GSE236713,0.18867924528301888,0.3898305084745763
GSE236713,0.21509433962264152,0.3898305084745763
GSE236713,0.21509433962264152,0.4067796610169492
GSE236713,0.23018867924528302,0.4067796610169492
GSE236713,0.23018867924528302,0.423728813559322
GSE236713,0.2641509433962264,0.423728813559322
GSE236713,0.2641509433962264,0.4576271186440678
GSE236713,0.3132075471698113,0.4576271186440678
GSE236713,0.3132075471698113,0.4915254237288136
GSE236713,0.33962264150943394,0.4915254237288136
GSE236713,0.33962264150943394,0.5084745762711864
GSE236713,0.4037735849056604,0.5084745762711864
GSE236713,0.4037735849056604,0.5254237288135594
GSE236713,0.4075471698113208,0.5254237288135594
GSE236713,0.4075471698113208,0.5423728813559322
GSE236713,0.4188679245283019,0.5423728813559322
GSE236713,0.4188679245283019,0.559322033898305
GSE236713,0.44528301886792454,0.559322033898305
GSE236713,0.44528301886792454,0.576271186440678
GSE236713,0.47924528301886793,0.576271186440678
GSE236713,0.47924528301886793,0.6101694915254238
GSE236713,0.5056603773584906,0.6101694915254238
GSE236713,0.5056603773584906,0.6271186440677966
GSE236713,0.5622641509433962,0.6271186440677966
GSE236713,0.5622641509433962,0.6440677966101694
GSE236713,0.5660377358490566,0.6440677966101694
GSE236713,0.5660377358490566,0.6610169491525424
GSE236713,0.569811320754717,0.6610169491525424
GSE236713,0.569811320754717,0.6949152542372882
GSE236713,0.5811320754716981,0.6949152542372882
GSE236713,0.5811320754716981,0.711864406779661
GSE236713,0.630188679245283,0.711864406779661
GSE236713,0.630188679245283,0.7288135593220338
GSE236713,0.6716981132075471,0.7288135593220338
GSE236713,0.6716981132075471,0.7457627118644068
GSE236713,0.6867924528301886,0.7457627118644068
GSE236713,0.6867924528301886,0.7627118644067796
GSE236713,0.7094339622641509,0.7627118644067796
GSE236713,0.7094339622641509,0.7796610169491526
GSE236713,0.7660377358490567,0.7796610169491526
GSE236713,0.7660377358490567,0.7966101694915254
